Id,X,Y,Topic,NearestNeighbor,NearestNeighborDistance
53967446,8.859936,7.931551,children nodes,19,0.32623162183750315
54086230,8.531287,8.231377,children nodes,51,0.14254519116742206
54086667,10.166892,7.0174875,refactoring,234,0.055355967040979295
54087577,11.034278,7.877868,refactoring tests,22,0.007319150912343617
54286347,7.3057,8.383839,children nodes,32,0.17846063185643837
54286388,8.672219,6.8325596,toolbar,369,0.0465658276578707
54286447,9.143542,5.38103,children nodes,211,0.18697543349508855
54286481,9.409625,6.6451807,refactoring remove,170,0.14286041117239698
54286527,11.060384,4.690541,class diagrams,394,0.08995999959947143
54316755,7.4191017,8.660648,feature,37,0.2991380858525226
54449103,9.38602,6.8501954,refactoring remove,170,0.06354015359057123
54886149,9.602538,8.440408,children nodes,372,0.040876259066428396
55170157,10.956668,7.675523,refactoring tests,128,0.07984791392272053
55305705,7.928024,7.8212976,diagram file,300,0.048536455197215125
55335447,10.541493,6.9157777,refactoring,281,0.1095403158203382
55337463,8.010534,8.120673,children nodes,46,0.3105377404981423
55354951,9.584946,6.7877126,refactoring remove,52,0.014930837484120968
55373758,7.487193,7.8541703,diagram file,393,0.0570523837413798
55562494,8.423601,8.13798,children nodes,34,0.14254519116742206
55618768,9.570273,6.784946,refactoring remove,49,0.014930837484120968
55618940,11.229257,6.2692094,graphpanel,168,0.03759010200539431
56129369,8.554815,5.0487003,feature select,163,0.021184656806628416
56615684,8.835202,7.210193,feature,224,0.057789439947094665
56911853,9.617885,4.2507195,sequence diagram,147,0.09264635929631865
56912012,10.13048,7.238667,children nodes,268,0.055670520244964
56938069,9.433318,4.0886064,sequence diagram,326,0.1949288677187593
56962038,8.876121,4.055908,children nodes,83,0.07212570812525296
57051892,9.531591,3.4006326,sequence diagram,386,0.024784134465476008
57063730,9.493036,5.436542,property editor,31,0.11319351067731205
57065337,7.872302,7.725058,diagram file,300,0.07603778247808925
57267713,9.665957,10.160182,checkstyle,312,0.009391904844883316
57495638,10.898565,3.0134053,note nodes,102,0.04161233542847303
58971612,8.900422,3.8784544,sequence diagram,162,0.025280069154412898
59074856,8.730497,9.190479,feature config,69,0.06527180071136476
60819087,11.110445,6.6852493,graph framework,153,0.14022011883749874
61905012,6.8791647,5.791385,nullpointerexception,21,0.10319359135943494
62011428,8.68952,9.241285,feature config,66,0.06527180071136476
62285557,11.162457,4.180045,class diagrams,126,0.03190496718579361
62763963,10.804279,2.8441565,note nodes,192,0.07059014389693924
62764072,8.125983,7.065469,feature,352,0.02815067463971745
63045001,6.374721,6.7240524,java version,190,0.04602492271449726
63046515,8.406082,8.666952,children nodes,245,0.10855778376800022
63073855,8.637559,6.7413025,toolbar,222,0.012394210865035565
65368163,10.836078,2.9362862,note nodes,88,0.02487959696596067
65584800,9.761182,4.7047734,parentnode,120,0.09934799649245168
65638763,11.072059,3.944652,return edge,143,0.033843719456456235
65755087,10.973715,3.892632,return edge,143,0.07823568706957011
66114115,11.121295,7.679982,refactoring tests,362,0.07531782651319217
66373483,9.0036955,5.051767,feature select,157,0.069202415724388
66699203,8.06493,4.018785,note node,117,0.0489399925051404
66771330,8.933887,4.01272,children nodes,59,0.07212570812525296
66921844,10.197167,5.2900987,parentnode,93,0.2668927464248214
67012147,8.124547,4.205101,note node,172,0.10047264670656532
67188748,9.376947,5.53606,property editor,358,0.12683483181746674
69319549,8.772167,7.0325246,toolbar,24,0.15097139795943715
70946321,10.854225,2.9533057,note nodes,76,0.02487959696596067
71356953,9.025704,3.8569326,sequence diagram,162,0.1240106822716634
72257171,9.02039,3.605347,sequence diagram,361,0.10436901491947559
72259346,8.056905,2.9503303,package nodes,97,0.04907486055700793
72260941,11.053394,7.820972,refactoring tests,22,0.05276018153246919
72281243,10.358488,5.502719,children nodes,199,0.16105959962299896
72422520,8.377175,9.228212,feature config,110,0.059133161317807444
73371238,9.683049,4.410467,sequence diagram,147,0.08048203781495568
73461111,10.515641,3.118786,note nodes,132,0.2982701617490939
73462140,8.012478,2.9294834,package nodes,307,0.03748642286006148
73745567,9.58226,3.374589,sequence diagram,322,0.01411888872320016
73747149,9.071848,3.7303512,sequence diagram,361,0.06671384723734734
73775170,8.7453165,3.6508265,sequence diagram,112,0.04701394044276536
73775932,8.552921,3.694076,sequence diagram,414,0.10238536619349117
73990242,10.863206,2.9914668,note nodes,88,0.039203556135330754
73991485,10.661222,2.7536023,note nodes,182,0.04671955579016632
73993095,10.954408,3.0318773,note nodes,64,0.05881825193411007
78425372,7.0365424,5.359257,nullpointerexception,265,0.0868232578229544
78844169,10.765357,2.9177752,note nodes,76,0.07310316519551047
78845305,8.020971,3.976004,note node,117,0.01365707655748817
87830826,8.383467,7.3001885,feature,0,0.18996420844862566
87831265,7.972017,3.0432577,package nodes,135,0.019582555583824855
87831614,8.38166,9.287175,feature config,94,0.059133161317807444
88602671,10.872321,7.78833,refactoring tests,389,0.035649577602236325
88770967,8.790245,3.6369796,sequence diagram,100,0.04701394044276536
88833186,7.1600723,5.559187,nullpointerexception,265,0.14926421884502866
88853288,10.591409,2.7278266,note nodes,183,0.04637753042672729
88863307,7.55887,7.874689,diagram file,393,0.017572694033008224
90442483,10.491483,6.223569,children nodes,214,0.14635268792847111
91506057,8.026488,3.988497,note node,107,0.01365707655748817
91615443,8.358085,4.664308,note node,26,0.05656202430026123
91626285,8.0632925,3.9365063,note node,107,0.05788908281158274
92162849,9.842903,4.761268,children nodes,77,0.09934799649245168
95043269,9.424005,4.6809235,children nodes,154,0.1044438130520236
95215777,8.565669,4.800004,children nodes,123,0.12189855827462455
100357759,8.448755,4.8345065,note node,29,0.04839759041314163
101038461,8.286657,5.359563,children nodes,138,0.32949242372777476
101113767,8.312667,9.28129,feature config,178,0.01274144010145358
103603955,11.138912,4.2015753,class diagrams,70,0.03190496718579361
103604974,10.378717,4.997494,class diagrams,18,0.21318147979589372
103731541,10.888883,7.717723,refactoring tests,278,0.054367085512584734
103773438,10.724775,3.3786275,diagram edge,132,0.04843620579958593
105663362,10.348465,5.726619,children nodes,199,0.15434017320610774
108349038,11.144272,3.2288282,children nodes,150,0.15549241159558555
109870647,10.677205,3.3695095,diagram edge,129,0.04843620579958593
110004516,11.244726,6.2119923,graphpanel,168,0.030715744517998286
110269341,10.549081,5.963261,children nodes,286,0.07318035797332469
110287704,7.977475,3.0244513,package nodes,403,0.012828334409915251
110431954,7.374121,9.121623,feature docs,227,0.1216369063098657
110432045,6.9859715,8.818008,feature docs,213,0.009481192207691336
110554239,8.408294,5.0533442,children nodes,194,0.1068444223710672
112927149,8.655058,6.719365,toolbar,75,0.02806175632179587
112929115,8.719573,6.7047763,toolbar,139,0.06614403946425272
113854090,9.831512,2.664565,package nodes,378,0.08498860885116125
113952771,11.395945,5.3830233,edges refactoring,198,0.03543392269466791
